313, 1231, 4231, 6037
13, 61, 2383, 5431
1451, 2699, 3413, 3761
163, 367, 4597, 5563
419, 443, 7757, 7883
29, 71, 5237, 6563
1783, 2953, 3643, 4273
1123, 3919, 5281, 7489
3, 17, 449, 2069
3, 17, 2069, 2297
11, 4643, 5153, 5849
131, 797, 2411, 5519
97, 379, 2221, 5581
83, 449, 6491, 7583
1319, 2243, 2789, 4133
7, 127, 6949, 7723
29, 3767, 4523, 6911
313, 1747, 4231, 6037
11, 23, 743, 1871
11, 2297, 4967, 7127
467, 587, 617, 6323
3, 2503, 5281, 5869
31, 1123, 2029, 5281
3, 31, 1237, 6571
11, 353, 4967, 5849
67, 619, 5419, 7687
1621, 2767, 3187, 7477
101, 2633, 2699, 4337
23, 47, 2333, 5927
3, 11, 2069, 2297
89, 107, 1061, 4973
79, 967, 1117, 3511
419, 449, 563, 5297
3, 17, 449, 6353
3, 17, 449, 6599
1087, 5413, 5569, 6451
199, 3259, 4327, 5107
47, 947, 1439, 4931
2039, 3299, 3767, 4523
5443, 6637, 6841, 7039
677, 2309, 4451, 6257
1439, 3833, 5657, 6983
23, 743, 1871, 6323
23, 1607, 5009, 5849
1153, 1699, 6691, 7507
2897, 4721, 4877, 5501
5023, 5443, 6841, 7039
239, 1049, 1847, 7523
269, 617, 887, 2741
71, 821, 1163, 5849
37, 2707, 4909, 5857
23, 47, 4211, 5483
3, 7, 109, 673
1523, 3203, 5279, 6827
37, 991, 2269, 3613
967, 5623, 6421, 6949
23, 89, 2357, 6323
521, 1523, 2447, 7907
11, 4013, 4643, 5153
1753, 1951, 3547, 3643
11, 239, 3467, 5807
23, 47, 1481, 4211
13, 5197, 5701, 6733
13, 19, 5077, 6043
1523, 2447, 5813, 7907
17, 2741, 3917, 6899
1217, 2309, 5081, 7817
7, 19, 97, 3727
23, 677, 827, 1871
11, 23, 6329, 7331
31, 3037, 3331, 5701
397, 907, 3919, 4567
23, 2003, 3557, 5051
127, 2281, 6361, 6481
79, 1801, 3253, 3547
229, 613, 4021, 6733
2593, 3307, 5443, 7039
47, 2333, 5297, 6701
2063, 2243, 5477, 6599
19, 31, 1237, 6271
17, 2741, 3917, 4649
23, 311, 677, 827
37, 1549, 2707, 3463
7, 19, 97, 4507
7, 61, 1693, 3181
1439, 2003, 5657, 6983
11, 239, 1049, 1847
11, 239, 1091, 1847
2269, 4057, 4663, 7879
7, 1249, 3727, 6949
7, 1249, 4441, 6949
1103, 3041, 6317, 7529
23, 2819, 3617, 7607
1289, 2801, 4733, 7919
7, 19, 1249, 3727
41, 1013, 7187, 7331
401, 3407, 3671, 7691
401, 2441, 3671, 7691
3, 37, 67, 2377
11, 1103, 5807, 6329
7, 829, 2671, 3361
809, 1361, 2141, 3947
3, 73, 6793, 7159
1447, 2803, 3769, 4051
3, 467, 617, 4253
809, 3947, 4679, 5393
7, 2269, 3613, 5821
3, 37, 2377, 4159
1583, 1877, 2447, 6113
7, 19, 3727, 5659
3391, 3433, 3643, 6607
3, 7, 541, 4159
43, 613, 6547, 6967
97, 2221, 4513, 5581
31, 1123, 2029, 2281
2801, 4733, 6689, 7331
7, 2089, 3181, 4219
7, 2089, 2953, 3181
151, 4801, 5197, 6733
3, 37, 67, 5923
7, 1237, 1549, 3019
7, 433, 1471, 3613
47, 251, 5147, 5273
283, 1321, 3001, 6607
