3,2,2,
2,3,1,
9,5,4,
5,6,2,
8,7,3,
3,8,1,
19,10,6,
10,11,3,
7,12,2,
649,13,180,
15,14,4,
4,15,1,
33,17,8,
17,18,4,
170,19,39,
9,20,2,
55,21,12,
197,22,42,
24,23,5,
5,24,1,
51,26,10,
26,27,5,
127,28,24,
9801,29,1820,
11,30,2,
1520,31,273,
17,32,3,
23,33,4,
35,34,6,
6,35,1,
73,37,12,
37,38,6,
25,39,4,
19,40,3,
2049,41,320,
13,42,2,
3482,43,531,
199,44,30,
161,45,24,
24335,46,3588,
48,47,7,
7,48,1,
99,50,14,
50,51,7,
649,52,90,
66249,53,9100,
485,54,66,
89,55,12,
15,56,2,
151,57,20,
19603,58,2574,
530,59,69,
31,60,4,
1766319049,61,226153980,
63,62,8,
8,63,1,
129,65,16,
65,66,8,
48842,67,5967,
33,68,4,
7775,69,936,
251,70,30,
3480,71,413,
17,72,2,
2281249,73,267000,
3699,74,430,
26,75,3,
57799,76,6630,
351,77,40,
53,78,6,
80,79,9,
9,80,1,
163,82,18,
82,83,9,
55,84,6,
285769,85,30996,
10405,86,1122,
28,87,3,
197,88,21,
500001,89,53000,
19,90,2,
1574,91,165,
1151,92,120,
12151,93,1260,
2143295,94,221064,
39,95,4,
49,96,5,
62809633,97,6377352,
99,98,10,
10,99,1,
201,101,20,
101,102,10,
227528,103,22419,
51,104,5,
41,105,4,
32080051,106,3115890,
962,107,93,
1351,108,130,
