AWARDCOMBOAWARDCODES,AWARD_COMBO_AWARD_CODE_ID
AWARDCOMBOAWARDCODES,AWARD_CODE_COMBINATION_ID
AWARDCOMBOAWARDCODES,AWARDCODE_ID
AWARDCOMBOAWARDCODES,ROW_VERSION
LEAGUEOFFICIALS,LEAGUEOFFICIAL_ID
LEAGUEOFFICIALS,OFFICIAL_ID
LEAGUEOFFICIALS,LEAGUE_ID
LEAGUEOFFICIALS,ROW_VERSION
FACILITIES,FACILITY_ID
FACILITIES,CENTER_ID
FACILITIES,FACILITYTYPE_ID
FACILITIES,DISCLAIMER_ID
FACILITIES,RESTRICTION_ID
FACILITIES,FACILITYHOURS_ID
FACILITIES,PREPCODE_ID
FACILITIES,FACILITYNAME
FACILITIES,FACILITYNUMBER
FACILITIES,EXCLUDEFROMRESERVE
FACILITIES,FACILITYALERT
FACILITIES,FORMNAME
FACILITIES,INLEAGUE
FACILITIES,ISEDUCATE
FACILITIES,ISTOUR
FACILITIES,LIGHTED
FACILITIES,NOCHARGE
FACILITIES,NOTES
FACILITIES,OPEN24HOURS
FACILITIES,QTYPERDAY
FACILITIES,QTYPERTIME
FACILITIES,RELATIONID
FACILITIES,RESERVATIONLOCK
FACILITIES,RESERVATIONTYPE
FACILITIES,SEARCHKEYWORDS
FACILITIES,USAGETYPE
FACILITIES,SCHEDULEFRESHNESS
FACILITIES,MAXIMUMCAPACITY
FACILITIES,MINIMUMCAPACITY
FACILITIES,DEFAULTOPENTIME
FACILITIES,DEFAULTCLOSETIME
FACILITIES,MONDAYSTARTTIME
FACILITIES,MONDAYENDTIME
FACILITIES,TUESDAYSTARTTIME
FACILITIES,TUESDAYENDTIME
FACILITIES,WEDNESDAYSTARTTIME
FACILITIES,WEDNESDAYENDTIME
FACILITIES,THURSDAYSTARTTIME
FACILITIES,THURSDAYENDTIME
FACILITIES,FRIDAYSTARTTIME
FACILITIES,FRIDAYENDTIME
FACILITIES,SATURDAYSTARTTIME
FACILITIES,SATURDAYENDTIME
FACILITIES,SUNDAYSTARTTIME
FACILITIES,SUNDAYENDTIME
FACILITIES,MONDAYCLOSED
FACILITIES,TUESDAYCLOSED
FACILITIES,WEDNESDAYCLOSED
FACILITIES,THURSDAYCLOSED
FACILITIES,FRIDAYCLOSED
FACILITIES,SATURDAYCLOSED
FACILITIES,SUNDAYCLOSED
FACILITIES,MINIMUMTIME
FACILITIES,HIDEONINTERNET
FACILITIES,NOINTERNETPERMITS
FACILITIES,NOSAFARIPERMITS
FACILITIES,SYSTEMUSER_ID
FACILITIES,USERRESTRICTED
FACILITIES,MAXDAYSTOALLOWSCHEDULING
FACILITIES,ISEQUIPMENT
FACILITIES,CHECKOUTPOSPRODUCT_ID
FACILITIES,CHECKINPOSPRODUCT_ID
FACILITIES,ONLINERESERVATIONTYPE
FACILITIES,RETIRED
FACILITIES,DEFAULTCHECKINTIME
FACILITIES,DEFAULTCHECKOUTTIME
FACILITIES,EXCLUDEDFROMLEAGUESCHEDULE
FACILITIES,FACILITY_ONLINE_RESERVATION_PROCESS
FACILITIES,FACILITY_ONLINE_RESERVATION_ADVANCE_DAYS
FACILITIES,FACILITY_GENDER
FACILITIES,LOCKER_ROWS
FACILITIES,MAXIMUMTIME
FACILITIES,OVERRIDE_CENTER_ADDRESS
FACILITIES,COUNTRY
FACILITIES,CITY
FACILITIES,STATE
FACILITIES,ZIPCODE
FACILITIES,ADDRESS1
FACILITIES,ADDRESS2
FACILITIES,ITEM_TYPE
FACILITIES,STATUS
FACILITIES,CHECK_OUT_OPTION
FACILITIES,CHECK_IN_OPTION
FACILITIES,FACILITY_ONLINE_RESERVATION_MAX_ADVANCE_DAYS
FACILITIES,FACILITY_STAFF_RESERVATION_ADVANCE_DAYS
FACILITIES,FACILITY_STAFF_RESERVATION_MAX_ADVANCE_DAYS
FACILITIES,FACILITY_DESCRIPTION
FACILITIES,FACILITY_ONLINE_RESERVATION_ADVANCE_DAYS_NON_RES
FACILITIES,FACILITY_ONLINE_RES_MAX_ADVANCE_DAYS_NON_RES
FACILITIES,FACILITY_ONLINE_MIN_ADVANCE_UNIT_TYPE
